iter	Logloss
0	0.3914641404
1	0.2368428962
2	0.1341782127
3	0.07885138325
4	0.04829483264
5	0.03153261219
6	0.02136281039
7	0.01536037351
8	0.01151367097
9	0.009012808792
10	0.007154966494
11	0.006063808137
12	0.005245340223
13	0.00465419801
14	0.004222903188
15	0.003878006565
16	0.003611206279
17	0.003415171835
18	0.00325104861
19	0.003117723461
20	0.003001495364
21	0.002921225937
22	0.00282907796
23	0.002772682253
24	0.002722801564
25	0.002680040618
26	0.002650342399
27	0.002625756207
28	0.002564175511
29	0.002547322359
30	0.00251686546
31	0.002481142262
32	0.002465462855
33	0.002446802479
34	0.002395837896
35	0.002377405413
36	0.002327020597
37	0.002298372004
38	0.002265370469
39	0.002254961958
40	0.002228821806
41	0.002198660739
42	0.002168842239
43	0.002154184443
44	0.002135734984
45	0.002120712272
46	0.002106153681
47	0.002097006419
48	0.00208326563
49	0.002066055676
50	0.00204665504
51	0.002034593453
52	0.002019628935
53	0.002013025244
54	0.002005644502
55	0.001995725737
56	0.001988925311
57	0.001982479219
58	0.00195998011
59	0.001937384251
60	0.00192269998
61	0.001906283331
62	0.001901485405
63	0.001894746281
64	0.00188347082
65	0.001873064794
66	0.001863601269
67	0.001858944788
68	0.001853210778
69	0.001833418217
70	0.001828574026
71	0.001821774259
72	0.001801573954
73	0.001793410835
74	0.001773103058
75	0.001771522035
76	0.001764612518
77	0.001756528434
78	0.001744168999
79	0.00173971288
80	0.001735982679
81	0.001733474934
82	0.00172358735
83	0.001717617137
84	0.001711198785
85	0.001702938847
86	0.001694823334
87	0.001687694746
88	0.001681280214
89	0.001667005198
90	0.00164975547
91	0.001640853908
92	0.00162553595
93	0.001612465585
94	0.001608521011
95	0.001596805338
96	0.001589373532
97	0.001582601065
98	0.001579976455
99	0.001574081395
100	0.001570743986
101	0.001566726027
102	0.001559852485
103	0.001556037278
104	0.001553490106
105	0.001548836535
106	0.001541720668
107	0.001537921949
108	0.001535655531
109	0.001518455265
110	0.001503253721
111	0.001495837647
112	0.001493428527
113	0.001487273755
114	0.001483284866
115	0.001480648756
116	0.001478220296
117	0.001476590105
118	0.001472617054
119	0.001465403006
120	0.001456565191
121	0.001446493498
122	0.001440345722
123	0.001436164185
124	0.001425485952
125	0.001421736353
126	0.001402367332
127	0.001398845595
128	0.001392513283
129	0.001389065829
130	0.001376413821
131	0.001368486676
132	0.001362515302
133	0.001359002055
134	0.001353120909
135	0.001347881507
136	0.001345230222
137	0.001334061798
138	0.001326793435
139	0.00132147203
140	0.001315385724
141	0.001311910425
142	0.001308326468
143	0.001301397855
144	0.001294487556
145	0.001289143876
146	0.001270625955
147	0.001267095491
148	0.001263342313
149	0.001259253701
150	0.001256620428
151	0.00125165235
152	0.001247981195
153	0.001245284208
154	0.001243383868
155	0.001241465586
156	0.001239132868
157	0.001237614388
158	0.001235832522
159	0.00123413837
160	0.001232616148
161	0.001229086824
162	0.001227971721
163	0.001226599302
164	0.001219932553
165	0.001213530703
166	0.001210885193
167	0.001201330516
168	0.001199725203
169	0.001197497126
170	0.001195032957
171	0.001193683634
172	0.001185835696
173	0.001181758245
174	0.00118008078
175	0.001177203993
176	0.001172784526
177	0.001169983436
178	0.001160847965
179	0.001152405759
180	0.001150271321
181	0.001148359566
182	0.001146566174
183	0.001144898242
184	0.001142291014
185	0.001140186572
186	0.001134711651
187	0.001131213043
188	0.001130423549
189	0.001124754131
